course_name,start_time,duration_minutes,activity_type,focus_score,remark
高等数学,2026-05-07T21:00,80,整理笔记,3,
高等数学,2026-05-08T22:00,65,复习,3,状态稳定
高等数学,2026-05-11T22:00,57,复习,2,
人工智能引论,2026-04-29T18:00,70,复习,4,中途分心
高等数学,2026-05-12T21:00,86,复习,5,效率较高
数据结构,2026-05-07T20:00,90,刷题,3,状态稳定
高等数学,2026-05-13T19:00,90,刷题,3,中途分心
人工智能引论,2026-05-12T18:00,45,整理笔记,2,中途分心
人工智能引论,2026-05-03T22:00,42,整理笔记,5,状态稳定
人工智能引论,2026-04-29T21:00,83,复习,2,中途分心
高等数学,2026-05-03T21:00,48,整理笔记,4,中途分心
高等数学,2026-05-09T18:00,38,刷题,4,中途分心
